Date	News
Tuesday, 13 June 2023 22:13:51	Gold Price Forecast: XAU/USD bears flex muscles even as US inflation advocates hawkish Fed halt
Tuesday, 13 June 2023 15:57:44	Gold Price Forecast: XAU/USD could even trade lower if Fed leaves door open to further hikes – Commerzbank
Tuesday, 13 June 2023 13:56:22	Silver Price Analysis: XAG/USD to reach $26 by year-end – ANZ
Tuesday, 13 June 2023 12:45:55	Gold Price Forecast: XAU/USD rises to test $1,970 after US CPI
Tuesday, 13 June 2023 10:35:20	Gold Price Forecast: XAU/USD to break previous high of $2,060 on a rebound from current levels – ANZ
Tuesday, 13 June 2023 10:17:42	Gold Price Forecast: XAU/USD fits above $1960 as USD looks fragile, US CPI hogs limelight
Tuesday, 13 June 2023 06:25:03	Gold Futures: A deeper pullback appears unlikely
Tuesday, 13 June 2023 06:23:53	Gold Price Forecast: XAU/USD holds steady around $1,960 as traders await US CPI
Tuesday, 13 June 2023 01:49:08	Gold Price Forecast: XAU/USD breakout could be on the cards around key US events
Wednesday, 14 June 2023 21:54:53	Gold Price Forecast: XAU/USD bears are making their moves, eye break of $1,930s
Wednesday, 14 June 2023 18:14:16	Gold Price Forecast: XAU/USD tumbles toward $1,940 on Fed hawkish skip
Wednesday, 14 June 2023 15:42:31	Gold Price Forecast: A hawkish Fed is a short-term headwind for XAU/USD – ANZ
Wednesday, 14 June 2023 15:32:37	Gold Price Forecast: XAU/USD surges on falling US T-bond yields, FOMC’s decision in focus
Wednesday, 14 June 2023 11:46:30	Gold Price Forecast: XAU/USD finds resistance above $1,950 amid a temporary pause in USD Index’s sell-off
Wednesday, 14 June 2023 07:16:37	Gold Price Forecast: XAU/USD defends 100-day SMA ahead of the crucial FOMC decision
Wednesday, 14 June 2023 05:47:54	Gold Futures: Door open to extra losses
Wednesday, 14 June 2023 04:24:51	Gold Price Forecast: XAU/USD recovery roadblock at $1,960, Fed eyed – Confluence Detector
